Ticker,Number of Events,Events / Year,Positive Events,Negative Events,Positive %,Negative %,Average Interval,Median Interval,Minimum Interval,Maximum Interval,Average Threshold
KIM,2767,72.03347107438017,1454,1313,52.54788579689193,47.45211420310806,3.490238611713666,3.0,1.0,21.0,0.02435129876251534
KKR,1611,69.63499142367067,860,751,53.382991930477964,46.617008069522036,3.6111801242236026,3.0,1.0,22.0,0.028558323659759202
KLAC,2702,70.35585864848109,1482,1220,54.84826054774241,45.15173945225759,3.5734912995186967,3.0,1.0,24.0,0.034679963275194556
KMB,2566,66.80772807108173,1349,1217,52.57209664848013,47.42790335151987,3.7633528265107214,3.0,1.0,21.0,0.015784951730753678
KMI,1556,69.78323545114789,773,783,49.67866323907455,50.32133676092545,3.6038585209003213,3.0,1.0,16.0,0.02162570431583798
KO,2648,68.93553719008264,1394,1254,52.64350453172205,47.35649546827795,3.647147714393653,3.0,1.0,19.0,0.015677749359992436
KR,2533,65.94854840376071,1339,1194,52.86221871298855,47.13778128701145,3.8124012638230647,3.0,1.0,24.0,0.022742890993342212
KVUE,300,65.34140017286084,137,163,45.666666666666664,54.333333333333336,3.859531772575251,3.0,1.0,17.0,0.021895025564037864
L,2676,69.66446280991735,1452,1224,54.26008968609865,45.73991031390135,3.6089719626168226,3.0,1.0,27.0,0.019545572863758312
LDOS,1791,62.7111296373489,947,844,52.875488553880515,47.124511446119485,4.0094972067039105,3.0,1.0,30.0,0.022548584317629745
LEN,2747,71.52758834469931,1407,1340,51.21951219512195,48.78048780487805,3.5149308084486526,3.0,1.0,20.0,0.034975451258340735
LH,2520,65.60330578512398,1385,1135,54.96031746031746,45.03968253968254,3.832473203652243,3.0,1.0,19.0,0.02209105998779922
LHX,2554,66.52966714905934,1370,1184,53.64134690681285,46.35865309318716,3.7790834312573445,3.0,1.0,22.0,0.024647622980812314
LII,2638,68.67520661157025,1417,1221,53.71493555724033,46.28506444275967,3.6609783845278727,3.0,1.0,21.0,0.02675086671435865
LIN,2638,68.67520661157025,1423,1215,53.942380591357086,46.057619408642914,3.6609783845278727,3.0,1.0,22.0,0.020039200501574442
LITE,1053,66.35558889722431,576,477,54.700854700854705,45.2991452991453,3.790874524714829,3.0,1.0,30.0,0.04470479004749859
LLY,2597,67.62182269063857,1379,1218,53.09973045822103,46.900269541778975,3.7180277349768875,3.0,1.0,22.0,0.021759725003040874
LMT,2618,68.15454545454546,1450,1168,55.38579067990833,44.614209320091675,3.688956820787161,3.0,1.0,22.0,0.019136764678118007
LNT,2711,70.61939218523878,1464,1247,54.002213205459235,45.997786794540765,3.560147601476015,3.0,1.0,20.0,0.016995353563210292
LOW,2625,68.3650268706077,1378,1247,52.49523809523809,47.50476190476191,3.6775914634146343,3.0,1.0,22.0,0.025584427997763344
LRCX,2731,71.12567176519222,1488,1243,54.48553643354083,45.51446356645917,3.5347985347985347,3.0,1.0,18.0,0.03867717650448812
LULU,1752,63.83805668016195,925,827,52.79680365296804,47.20319634703196,3.9388920616790406,4.0,1.0,21.0,0.03938742215884725
LUV,2659,69.25767441860465,1387,1272,52.162467092892065,47.837532907107935,3.630173062452972,3.0,1.0,22.0,0.02830584692910089
LVS,2181,69.86297190796999,1105,1076,50.664832645575416,49.33516735442458,3.5990825688073396,3.0,1.0,18.0,0.03921516329115404
LYB,1658,70.69644670050762,852,806,51.38721351025332,48.61278648974668,3.557030778515389,3.0,1.0,20.0,0.027796033698445004
LYV,2061,69.28655282817502,1093,968,53.032508491023776,46.967491508976224,3.629126213592233,3.0,1.0,20.0,0.03396053025172057
MA,1969,67.58213020975211,1120,849,56.8816658202133,43.11833417978669,3.720528455284553,3.0,1.0,20.0,0.024091770534628458
MAA,2677,69.69769604297964,1455,1222,54.35188644004483,45.64811355995517,3.6072496263079223,3.0,1.0,25.0,0.019706944526365067
MAR,2678,69.71652892561983,1433,1245,53.51008215085885,46.48991784914115,3.6062756817332837,3.0,1.0,18.0,0.025741285809585193
MAS,2611,67.97231404958679,1348,1263,51.62772883952509,48.37227116047491,3.698850574712644,3.0,1.0,22.0,0.0289411273287121
MCD,2677,69.69769604297964,1424,1253,53.19387373926037,46.80612626073963,3.6072496263079223,3.0,1.0,19.0,0.01717933585712403
MCHP,2663,69.3331955780556,1404,1259,52.722493428464134,47.27750657153586,3.626220886551465,3.0,1.0,16.0,0.032697105984936733
MCK,2571,66.94482331060136,1396,1175,54.29793854531311,45.70206145468689,3.7556420233463035,3.0,1.0,25.0,0.023341690472182954
MCO,2597,67.64279069767443,1463,1134,56.334231805929925,43.66576819407008,3.7168721109399074,3.0,1.0,22.0,0.024666174204314474
MDLZ,2446,67.35052447552447,1275,1171,52.12591986917416,47.87408013082584,3.732924335378323,3.0,1.0,49.0,0.01698049037818248
MDT,2626,68.36280991735538,1352,1274,51.48514851485149,48.51485148514851,3.677714285714286,3.0,1.0,18.0,0.01982690451307114
MET,2600,68.37107377647918,1390,1210,53.46153846153846,46.53846153846154,3.6771835321277413,3.0,1.0,21.0,0.026744412476181863
META,1344,65.64993215739484,765,579,56.91964285714286,43.080357142857146,3.830975428145942,3.0,1.0,19.0,0.031034576187551993
MGM,2652,69.04680235561524,1369,1283,51.62141779788839,48.378582202111616,3.641267446246699,3.0,1.0,22.0,0.03824630275069853
MKC,2614,68.05744395082137,1394,1220,53.328232593726085,46.671767406273915,3.6942212016838885,3.0,1.0,28.0,0.017586320746988186
MLM,2679,69.74256198347108,1399,1280,52.22097797685704,47.779022023142964,3.604929051530993,3.0,1.0,25.0,0.02662594867306933
MMM,2565,66.78169232358715,1356,1209,52.865497076023395,47.134502923976605,3.764820592823713,3.0,1.0,25.0,0.01955275180864326
MNST,2472,64.38697674418606,1335,1137,54.004854368932044,45.99514563106796,3.9048968029138003,3.0,1.0,27.0,0.03143252255149091
MO,2515,65.52729528535981,1389,1126,55.22862823061631,44.7713717693837,3.8369132856006365,3.0,1.0,49.0,0.019675325869434764
MOS,2643,68.80537190082646,1333,1310,50.43511161558835,49.56488838441165,3.6540499621498865,3.0,1.0,19.0,0.03646418007088001
MPC,1545,70.91803278688523,849,696,54.95145631067962,45.04854368932038,3.5459844559585494,3.0,1.0,24.0,0.030954897372377586
MPWR,2187,69.78903381030771,1184,1003,54.13808870598994,45.86191129401006,3.602927721866423,3.0,1.0,22.0,0.036586349230495016
MRK,2567,66.82685950413223,1330,1237,51.81145305804441,48.18854694195559,3.7622759158222916,3.0,1.0,21.0,0.02075464947490521
MRNA,776,70.7240506329114,378,398,48.71134020618557,51.28865979381443,3.5587096774193547,3.0,1.0,21.0,0.05897109139234164
MRSH,2618,68.16862988220707,1400,1218,53.475935828877006,46.524064171122994,3.688192586931601,3.0,1.0,21.0,0.019218464781610604
MRVL,2645,70.16949152542374,1369,1276,51.758034026465026,48.241965973534974,3.5828290468986386,3.0,1.0,19.0,0.04230238238338634
MS,2686,69.96816208393633,1393,1293,51.86150409530901,48.13849590469099,3.593296089385475,3.0,1.0,24.0,0.03162272643808518
MSCI,1810,67.09620476610768,1000,810,55.24861878453039,44.751381215469614,3.747927031509121,3.0,1.0,21.0,0.026404840769333405
MSFT,2638,68.67520661157025,1425,1213,54.018195602729335,45.98180439727066,3.6609783845278727,3.0,1.0,27.0,0.02244459444727913
MSI,2607,67.86818181818182,1381,1226,52.97276563099348,47.02723436900652,3.704528012279355,3.0,1.0,21.0,0.027607080846030856
MTB,2598,67.6478611283323,1351,1247,52.001539645881444,47.998460354118556,3.7165960723912206,3.0,1.0,24.0,0.023425962016817535
MTD,2664,69.36639801611904,1468,1196,55.1051051051051,44.8948948948949,3.6244836650394294,3.0,1.0,19.0,0.023201794400373926
MU,2751,71.67617866004963,1426,1325,51.83569611050527,48.16430388949473,3.5076363636363634,3.0,1.0,19.0,0.04451433675627119
NCLH,1328,68.1025641025641,680,648,51.204819277108435,48.795180722891565,3.693293142426526,3.0,1.0,28.0,0.04007341358509597
NDAQ,2376,68.2961104140527,1290,1086,54.292929292929294,45.707070707070706,3.681263157894737,3.0,1.0,22.0,0.02727453481797251
NDSN,2584,67.28332300061996,1386,1198,53.637770897832816,46.362229102167184,3.7367402245451027,3.0,1.0,19.0,0.026864973973096378
NEE,2652,69.0396694214876,1458,1194,54.97737556561086,45.022624434389144,3.6416446623915504,3.0,1.0,27.0,0.018285630072607945
NEM,2706,70.46001239925604,1376,1330,50.849963045085,49.150036954915,3.568207024029575,3.0,1.0,19.0,0.0310033881851482
NFLX,2209,63.22180579216354,1228,981,55.59076505205975,44.40923494794025,3.9769021739130435,3.0,1.0,26.0,0.04340358925397404
NI,2704,70.39338842975206,1478,1226,54.65976331360947,45.34023668639053,3.571587125416204,3.0,1.0,21.0,0.018469771263159577
NKE,2535,66.00743955362678,1333,1202,52.58382642998028,47.41617357001972,3.8089976322020522,3.0,1.0,20.0,0.02407593827799602
NOC,2610,67.97436957420422,1444,1166,55.32567049808429,44.67432950191571,3.698735147566117,3.0,1.0,21.0,0.019779735362224375
NOW,1397,68.86619718309859,774,623,55.40443808160344,44.59556191839656,3.651862464183381,3.0,1.0,15.0,0.03300910583255115
NRG,2277,69.60262008733625,1197,1080,52.569169960474305,47.43083003952569,3.6124780316344465,3.0,1.0,21.0,0.02936335293784033
NSC,2620,68.25597022640339,1374,1246,52.44274809160305,47.55725190839695,3.683466972126766,3.0,1.0,18.0,0.025249557143042556
NTAP,2605,67.81611570247934,1371,1234,52.629558541266796,47.370441458733204,3.707373271889401,3.0,1.0,25.0,0.03906406154783645
NTRS,2599,67.68089283868969,1348,1251,51.86610234705656,48.13389765294344,3.7147806004618937,3.0,1.0,22.0,0.02495232584569707
