Ticker,Number of Events,Positive Labels,Negative Labels,Neutral Labels,PT hits,SL hits,Vertical hits,Positive %,Negative %,Neutral %,Average Holding Days,Median Holding Days,Average Return,Median Return,Average Volatility,Average Barrier Width
BBY,2537,1117,1032,388,1117,1032,388,44.02837997635002,40.67796610169492,15.293653921955064,3.9854158454867954,4.0,0.0012807690041033756,0.005295696687889185,0.03514709571115442,3.2645639180087005
BDX,2591,1171,1108,312,1171,1108,312,45.194905441914315,42.763411810111926,12.041682747973756,3.741026630644539,3.0,0.00037530059075939487,0.003149585220485346,0.01876585061508673,3.698633813044232
BEN,2685,1188,1176,321,1188,1176,321,44.24581005586592,43.798882681564244,11.955307262569832,3.7482309124767226,3.0,-0.00028470588749561823,0.0008696276107788077,0.026685275761318218,1.4888557100804607
BF-B,2597,1156,1149,292,1156,1149,292,44.51289949942241,44.24335772044667,11.24374278013092,3.614940315748941,3.0,-0.0001654221332048041,0.0018480595352749621,0.019143294017104056,1.1957331736281782
BG,2449,1119,1033,297,1119,1033,297,45.69211923233973,42.18048182931809,12.12739893834218,3.8448346263781135,4.0,0.0008262594914907074,0.004018225120631703,0.025909282530521823,3.449209674575639
BIIB,2418,1035,1008,375,1035,1008,375,42.80397022332506,41.687344913151364,15.508684863523573,3.9631927212572373,4.0,-0.0007054288590767132,0.0020860444155014384,0.03372490208419679,9.700929200861117
BKNG,2524,1118,997,409,1118,997,409,44.294770206022186,39.50079239302694,16.204437400950873,4.003169572107765,4.0,-2.1718134500562503e-05,0.0058207426004118126,0.0399246573977092,2.6850810590825382
BKR,2704,1257,1183,264,1257,1183,264,46.48668639053255,43.75,9.763313609467456,3.6190828402366866,3.0,0.00026707280673331517,0.004544576551223905,0.03260854687282808,2.705368999497344
BLDR,2076,935,921,220,935,921,220,45.03853564547206,44.36416184971098,10.597302504816955,3.6498073217726397,3.0,0.0008834960448338295,0.005566886942004945,0.04650957667648595,2.704159230252152
BLK,2680,1239,1114,327,1239,1114,327,46.231343283582085,41.56716417910447,12.201492537313433,3.7611940298507465,3.0,0.0006132890317844283,0.006974660274429384,0.02505574924969867,15.85133201765558
BMY,2545,1107,1133,305,1107,1133,305,43.49705304518664,44.518664047151276,11.984282907662083,3.731630648330059,3.0,-0.00046893837269834003,-0.0005669064033463802,0.021821197503632667,1.9237735894593653
BNY,2623,1189,1124,310,1189,1124,310,45.329775066717495,42.85169653069005,11.81852840259245,3.693480747235989,3.0,-0.000342134411865271,0.002408543400500297,0.025084175371775562,2.0559737085698333
BR,1937,899,819,219,899,819,219,46.411977284460505,42.281879194630875,11.306143520908622,3.6623644811564273,3.0,0.0005202876809832919,0.006714555535247435,0.020079396148171114,3.394826051548897
BRK-B,2605,1180,1048,377,1180,1048,377,45.297504798464495,40.230326295585414,14.472168905950095,3.760460652591171,3.0,0.0002021426136092862,0.003196164309330965,0.016422239268296515,4.828234705257676
BRO,2598,1195,1102,301,1195,1102,301,45.996920708237106,42.41724403387221,11.585835257890684,3.7367205542725173,3.0,0.0006635820625052244,0.006113780522418488,0.019999375866814516,1.0531209625737084
BSX,2557,1160,1066,331,1160,1066,331,45.365662886194755,41.68947985921001,12.94485725459523,3.8142354321470475,4.0,0.0004696741179627442,0.0034985145853050847,0.027116803669476757,1.3323839540134863
BX,1966,893,852,221,893,852,221,45.42217700915565,43.33672431332655,11.241098677517803,3.5620549338758902,3.0,-0.0007659738547496222,0.0025219431051033948,0.033645602401899816,3.357796905563501
BXP,2709,1184,1197,328,1184,1197,328,43.70616463639719,44.18604651162791,12.107788851974899,3.6847545219638245,3.0,-0.00042711331122927875,0.001998002662673058,0.022816576579669116,3.7763818050357796
C,2635,1171,1160,304,1171,1160,304,44.44022770398482,44.022770398481974,11.537001897533207,3.6903225806451614,3.0,-0.000775802133856562,0.0020695371102078435,0.02975558321082722,9.302701419634424
CAH,2504,1129,1014,361,1129,1014,361,45.087859424920126,40.495207667731634,14.416932907348242,3.9241214057507987,4.0,0.0011882563167496167,0.008154529452812899,0.023264576954050757,2.990626007494249
CARR,617,292,247,78,292,247,78,47.3257698541329,40.032414910858996,12.641815235008103,3.8184764991896274,4.0,0.0020628944362250856,0.0123423906444257,0.030357773807161294,2.867490785995114
CASY,2491,1112,1083,296,1112,1083,296,44.6407065435568,43.47651545564031,11.88277800080289,3.6126053793657165,3.0,-0.0004160313062064939,0.0016005208485503708,0.025244992225190627,5.3600923487548435
CAT,2707,1267,1129,311,1267,1129,311,46.80458071666051,41.70668636867381,11.488732914665682,3.782046545991873,3.0,0.0011299432631921634,0.0076792802519028945,0.026175767395953668,6.6012600535515835
CB,2634,1227,1106,301,1227,1106,301,46.583143507972665,41.98936977980258,11.427486712224754,3.711085801063022,3.0,0.0008909430595724514,0.007411809306233117,0.021946087264377287,4.012417844658972
CBOE,1654,844,681,129,844,681,129,51.027811366384526,41.17291414752116,7.799274486094316,3.389963724304716,3.0,0.0015298109068257995,0.010492071756777677,0.019309027076513073,3.9861833927106938
CBRE,2217,994,943,280,994,943,280,44.835363103292735,42.53495714930086,12.629679747406405,3.7889039242219216,4.0,-0.00023549675768362303,0.004949824501806299,0.03314911173472411,2.5216381548681888
CCI,2660,1209,1163,288,1209,1163,288,45.45112781954887,43.721804511278194,10.827067669172932,3.6954887218045114,3.0,-0.0007008732175573491,0.003051633487583037,0.029583081828598406,3.168744153346723
